floy,temp,round,tank,date,inc_day,embryo_length,,,
HO_003,27,1,2,14/08/2017,82,13.905,,,
HO_012,27,1,2,15/12/2017,118,13.931,,,
HO_003,27,1,2,18/08/2017,86,13.945,,,
HO_014,29,1,1,15/11/2017,88,13.958,,,
HO_009,29,1,1,16/10/2017,90,13.983,,,
HO_040,31,2,2,14/01/2019,100,13.983,,,
HO_004,27,1,2,18/09/2017,117,13.987,,,
HO_028,31,2,2,16/08/2018,77,13.99,,,
HO_030,27,2,1,25/09/2018,114,14.008,,,
HO_014,29,1,1,20/11/2017,93,14.01,,,
HO_002,27,1,2,12/08/2017,105,14.082,,,
HO_026,31,2,2,7/08/2018,85,14.095,,,
HO_026,31,2,2,2/08/2018,80,14.123,,,
HO_008,29,1,1,2/10/2017,103,14.154,,,
HO_004,27,1,2,14/08/2017,82,14.165,,,
HO_008,29,1,1,5/10/2017,106,14.172,,,
HO_014,29,1,1,25/10/2017,67,14.215,,,
HO-036,31,2,2,25/11/2018,80,14.223,,,
HO_026,31,2,2,9/08/2018,87,14.231,,,
HO_008,29,1,1,7/09/2017,78,14.27,,,
HO_003,27,1,2,9/09/2017,108,14.279,,,
HO_028,31,2,2,14/08/2018,75,14.325,,,
HO_020,27,1,2,1/01/2018,90,14.346,,,
HO_003,27,1,2,22/08/2017,90,14.358,,,
HO_026,31,2,2,20/08/2018,98,14.391,,,
HO_008,29,1,1,5/09/2017,76,14.395,,,
HO_015,27,1,2,11/11/2017,84,14.411,,,
HO_040,31,2,2,15/12/2018,70,14.551,,,
HO_009,29,1,1,13/10/2017,87,14.602,,,
HO_040,31,2,2,29/12/2018,84,14.705,,,
HO_004,27,1,2,11/09/2017,110,14.734,,,
HO-029,27,2,1,7/09/2018,96,14.735,,,
HO_003,27,1,2,12/08/2017,80,14.828,,,
HO_009,29,1,1,23/10/2017,97,14.95,,,
HO_013,29,1,1,15/11/2017,88,14.958,,,
HO_003,27,1,2,20/08/2017,88,15.041,,,
HO_015,27,1,2,8/11/2017,81,15.046,,,
HO_002,27,1,2,10/08/2017,103,15.049,,,
HO_009,29,1,1,28/09/2017,72,15.062,,,
HO-029,27,2,1,17/09/2018,106,15.095,,,
HO_041,31,2,2,8/02/2019,85,15.101,,,
HO_004,27,1,2,22/09/2017,121,15.11,,,
HO_004,27,1,2,5/09/2017,104,15.138,,,
HO_002,27,1,2,14/08/2017,107,15.186,,,
HO_039,27,2,1,27/01/2019,113,15.199,,,
HO_027,27,2,1,28/08/2018,89,15.203,,,
HO_004,27,1,2,26/09/2017,125,15.256,,,
HO-029,27,2,1,15/09/2018,104,15.295,,,
HO_039,27,2,1,14/01/2019,100,15.302,,,
HO_004,27,1,2,22/08/2017,90,15.303,,,
HO_028,31,2,2,3/09/2018,95,15.341,,,
HO_039,27,2,1,17/01/2019,103,15.384,,,
HO_003,27,1,2,16/08/2017,84,15.41,,,
HO_022,29,1,1,12/02/2018,98,15.411,,,
HO-036,31,2,2,6/12/2018,91,15.429,,,
HO_008,29,1,1,28/09/2017,99,15.447,,,
HO_040,31,2,2,7/01/2019,93,15.457,,,
HO_014,29,1,1,6/11/2017,79,15.477,,,
HO_021,27,1,2,8/02/2018,128,15.516,,,
HO_027,27,2,1,15/09/2018,107,15.66,,,
HO-029,27,2,1,23/09/2018,112,15.662,,,
HO_015,27,1,2,20/11/2017,93,15.668,,,
HO_013,29,1,1,20/11/2017,93,15.701,,,
HO_014,29,1,1,11/11/2017,84,15.843,,,
HO_027,27,2,1,23/09/2018,115,15.861,,,
